centroidx,centroidy,height,angle,module,mag_field
785,478,58,-1.1638255414261254,63.15853069855251,2.477
198,482,35,0.8960553845713439,44.82186966202994,2.511
258,485,30,-1.2793395323170296,31.32091952673165,2.5
687,487,27,1.1839206090638685,29.154759474226502,2.496
227,488,21,-1.4288992721907328,21.213203435596427,2.49
309,488,29,-0.7520771675192011,42.44997055358225,2.487
964,481,29,1.1493771199070923,31.78049716414141,2.484
975,480,30,1.4711276743037347,30.14962686336267,2.482
651,487,18,1.1071487177940904,20.12461179749811,2.48
851,480,53,1.2433961149946702,55.97320787662612,2.478
946,487,24,-1.176005207095135,26.0,2.477
612,487,25,1.1232763516377269,27.730849247724095,2.511
851,477,40,1.1479424006619559,43.86342439892262,2.5
47,336,33,0.8671825440154444,43.278170016764804,2.496
215,468,47,-1.5282687921751124,47.042533945356304,2.49
306,482,35,-1.240498971965643,37.0,2.487
117,480,30,-1.5374753309166493,30.01666203960727,2.484
958,473,37,1.1401038154083887,40.718546143004666,2.482
214,477,46,-1.1606689862534056,50.15974481593781,2.48
465,488,20,1.0303768265243125,23.323807579381203,2.478
129,478,23,0.9342881110069456,28.600699292150182,2.477
23,485,31,-1.2298173732985473,32.89376840679705,2.511
126,483,46,1.3156139361740782,47.53945729601885,2.5
652,365,27,-1.0088747645380813,31.906112267087632,2.496
403,488,28,1.464060654145761,28.160255680657446,2.49
566,473,45,0.844153986113171,60.207972893961475,2.487
558,478,50,0,50.0,2.484
378,480,38,-1.0074800653029286,44.94441010848846,2.482
371,484,29,0.9440534255838497,35.805027579936315,2.48
100,475,33,-1.0040671092713902,39.11521443121589,2.478
967,474,46,1.4625257359344406,46.2709412050371,2.477
676,488,25,1.2252407462131845,26.570660511172846,2.511
94,491,15,-0.8198672643969563,20.518284528683193,2.5
678,482,36,1.299849476456476,37.36308338453881,2.496
224,490,20,-1.4711276743037347,20.09975124224178,2.49
231,481,37,1.2818209168023302,38.600518131237564,2.487
474,485,35,1.0957855705297999,39.35733730830886,2.484
600,485,29,-1.3016288340091962,30.083217912982647,2.482
30,480,31,-1.14660191889113,34.0147027033899,2.48
944,410,57,1.3633001003596938,58.249463516842795,2.478
116,380,33,1.361773383988632,33.734255586866,2.477
209,486,29,0,29.0,2.511
241,490,29,-1.4677147182721964,29.154759474226502,2.5
35,477,40,1.1902899496825317,43.08131845707603,2.496
781,445,65,-1.2722973952087173,68.00735254367721,2.49
518,485,26,1.047518004662921,30.01666203960727,2.487
834,480,36,1.4876550949064553,36.124783736376884,2.484
714,417,16,-0.4764674194737067,34.88552708502482,2.482
207,484,31,-0.9119902906774204,39.20459156782532,2.48
914,460,60,1.373400766945016,61.18823416311342,2.478
924,394,62,1.5385494443596428,62.03224967708329,2.477
