centroidx,centroidy,height,angle,module,mag_field
656,333,26,1.380808038876181,26.476404589747453,2.475
964,391,32,1.3258176636680326,32.984845004941285,2.51
899,422,15,0.8567056281827385,19.849433241279208,2.5
656,333,26,1.5323537367737086,26.019223662515376,2.493
981,431,17,-0.7298996581517315,25.495097567963924,2.488
656,333,26,1.4181469983996315,26.30589287593181,2.484
657,333,26,1.380808038876181,26.476404589747453,2.48
657,333,26,1.380808038876181,26.476404589747453,2.478
656,333,26,1.4559197213779975,26.1725046566048,2.477
656,333,26,1.380808038876181,26.476404589747453,2.476
953,401,67,-1.1252190398203148,74.24957912338628,2.475
659,330,26,1.3439974787410107,26.68332812825267,2.51
903,378,35,-1.1659045405098132,38.07886552931954,2.5
657,333,26,1.4940244355251187,26.076809620810597,2.493
657,333,26,1.4559197213779975,26.1725046566048,2.488
925,409,27,1.1525719972156676,29.546573405388315,2.484
657,333,26,1.380808038876181,26.476404589747453,2.48
657,333,26,1.4940244355251187,26.076809620810597,2.478
657,333,26,1.4181469983996315,26.30589287593181,2.477
657,333,26,1.4181469983996315,26.30589287593181,2.476
656,333,26,1.3078015951139772,26.92582403567252,2.475
931,402,60,1.5042281630190728,60.13318551349163,2.51
657,333,26,1.4559197213779975,26.1725046566048,2.5
656,334,27,1.423717971406494,27.294688127912362,2.493
657,333,26,1.4181469983996315,26.30589287593181,2.488
657,333,26,1.4181469983996315,26.30589287593181,2.484
657,333,26,1.3439974787410107,26.68332812825267,2.48
657,333,26,1.3439974787410107,26.68332812825267,2.478
657,333,26,1.380808038876181,26.476404589747453,2.477
657,333,26,1.4181469983996315,26.30589287593181,2.476
657,333,26,1.380808038876181,26.476404589747453,2.475
874,465,58,-1.178456182579381,62.76941930590086,2.51
654,333,27,1.460139105621001,27.16615541441225,2.5
978,453,39,1.2722973952087173,40.80441152620633,2.493
657,333,26,1.4181469983996315,26.30589287593181,2.488
902,377,106,1.523661452981396,106.1178590059185,2.484
957,462,53,-1.5142528898500793,53.08483775994799,2.48
894,399,42,-1.1659045405098132,45.69463863518345,2.478
713,418,9,0.7328151017865066,13.45362404707371,2.477
945,417,53,-1.2604089196625452,55.65968020030299,2.476
657,333,26,1.3439974787410107,26.68332812825267,2.475
949,400,73,1.2655731930009753,76.53757247260981,2.51
822,487,34,1.039072259536091,39.44616584663204,2.5
815,482,38,0.870903457075653,49.678969393496885,2.493
887,372,84,-0.982793723247329,100.9554357129917,2.488
657,333,26,1.3078015951139772,26.92582403567252,2.484
657,333,27,1.423717971406494,27.294688127912362,2.48
657,332,27,1.4968572891369563,27.073972741361768,2.478
971,424,34,-1.4247840690836213,34.36568055487916,2.477
825,472,50,1.297787623708186,51.92301994298868,2.476
709,417,12,-1.2490457723982544,12.649110640673518,2.475
